wpp,file_group,AgeGrp,AgeGrpStart,AgeGrpSpan
2000,PopulationByAgeSex_5x5,45-49,45,5
2000,PopulationByAgeSex_5x5,50-54,50,5
2000,PopulationByAgeSex_5x5,55-59,55,5
2000,PopulationByAgeSex_5x5,60-64,60,5
2000,PopulationByAgeSex_5x5,65-69,65,5
2000,PopulationByAgeSex_5x5,70-74,70,5
2000,PopulationByAgeSex_5x5,75-79,75,5
2000,PopulationByAgeSex_5x5,80-84,80,5
2000,PopulationByAgeSex_5x5,85-89,85,5
2000,PopulationByAgeSex_5x5,90-94,90,5
2000,PopulationByAgeSex_5x5,95-99,95,5
2000,PopulationByAgeSex_5x5,100+,100,-1
2002,Fertility_by_Age,15-19,15,5
2002,Fertility_by_Age,20-24,20,5
2002,Fertility_by_Age,25-29,25,5
2002,Fertility_by_Age,30-34,30,5
2002,Fertility_by_Age,35-39,35,5
2002,Fertility_by_Age,40-44,40,5
2002,Fertility_by_Age,45-49,45,5
2002,PopulationByAgeSex,0-4,0,5
2002,PopulationByAgeSex,5-9,5,5
2002,PopulationByAgeSex,10-14,10,5
2002,PopulationByAgeSex,15-19,15,5
2002,PopulationByAgeSex,20-24,20,5
2002,PopulationByAgeSex,25-29,25,5
2002,PopulationByAgeSex,30-34,30,5
2002,PopulationByAgeSex,35-39,35,5
2002,PopulationByAgeSex,40-44,40,5
2002,PopulationByAgeSex,45-49,45,5
2002,PopulationByAgeSex,50-54,50,5
2002,PopulationByAgeSex,55-59,55,5
2002,PopulationByAgeSex,60-64,60,5
2002,PopulationByAgeSex,65-69,65,5
2002,PopulationByAgeSex,70-74,70,5
2002,PopulationByAgeSex,75-79,75,5
2002,PopulationByAgeSex,80-84,80,5
2002,PopulationByAgeSex,85-89,85,5
2002,PopulationByAgeSex,90-94,90,5
2002,PopulationByAgeSex,95-99,95,5
2002,PopulationByAgeSex,100+,100,-1
2002,PopulationByAgeSex_5x5,0-4,0,5
2002,PopulationByAgeSex_5x5,5-9,5,5
2002,PopulationByAgeSex_5x5,10-14,10,5
2002,PopulationByAgeSex_5x5,15-19,15,5
2002,PopulationByAgeSex_5x5,20-24,20,5
2002,PopulationByAgeSex_5x5,25-29,25,5
2002,PopulationByAgeSex_5x5,30-34,30,5
2002,PopulationByAgeSex_5x5,35-39,35,5
2002,PopulationByAgeSex_5x5,40-44,40,5
2002,PopulationByAgeSex_5x5,45-49,45,5
2002,PopulationByAgeSex_5x5,50-54,50,5
2002,PopulationByAgeSex_5x5,55-59,55,5
2002,PopulationByAgeSex_5x5,60-64,60,5
2002,PopulationByAgeSex_5x5,65-69,65,5
2002,PopulationByAgeSex_5x5,70-74,70,5
2002,PopulationByAgeSex_5x5,75-79,75,5
2002,PopulationByAgeSex_5x5,80-84,80,5
2002,PopulationByAgeSex_5x5,85-89,85,5
2002,PopulationByAgeSex_5x5,90-94,90,5
2002,PopulationByAgeSex_5x5,95-99,95,5
2002,PopulationByAgeSex_5x5,100+,100,-1
2004,Fertility_by_Age,15-19,15,5
2004,Fertility_by_Age,20-24,20,5
2004,Fertility_by_Age,25-29,25,5
2004,Fertility_by_Age,30-34,30,5
2004,Fertility_by_Age,35-39,35,5
2004,Fertility_by_Age,40-44,40,5
2004,Fertility_by_Age,45-49,45,5
2004,Life_Table,0,0,1
2004,Life_Table,1-4,1,4
2004,Life_Table,5-9,5,5
2004,Life_Table,10-14,10,5
2004,Life_Table,15-19,15,5
2004,Life_Table,20-24,20,5
2004,Life_Table,25-29,25,5
2004,Life_Table,30-34,30,5
2004,Life_Table,35-39,35,5
2004,Life_Table,40-44,40,5
2004,Life_Table,45-49,45,5
2004,Life_Table,50-54,50,5
2004,Life_Table,55-59,55,5
2004,Life_Table,60-64,60,5
2004,Life_Table,65-69,65,5
2004,Life_Table,70-74,70,5
2004,Life_Table,75-79,75,5
2004,Life_Table,80-84,80,5
2004,Life_Table,85-89,85,5
2004,Life_Table,90-94,90,5
2004,Life_Table,95-99,95,5
2004,Life_Table,100+,100,-1
2004,PopulationByAgeSex,0-4,0,5
2004,PopulationByAgeSex,5-9,5,5
2004,PopulationByAgeSex,10-14,10,5
2004,PopulationByAgeSex,15-19,15,5
2004,PopulationByAgeSex,20-24,20,5
2004,PopulationByAgeSex,25-29,25,5
2004,PopulationByAgeSex,30-34,30,5
2004,PopulationByAgeSex,35-39,35,5
2004,PopulationByAgeSex,40-44,40,5
2004,PopulationByAgeSex,45-49,45,5
2004,PopulationByAgeSex,50-54,50,5
2004,PopulationByAgeSex,55-59,55,5
2004,PopulationByAgeSex,60-64,60,5
2004,PopulationByAgeSex,65-69,65,5
2004,PopulationByAgeSex,70-74,70,5
2004,PopulationByAgeSex,75-79,75,5
2004,PopulationByAgeSex,80-84,80,5
2004,PopulationByAgeSex,85-89,85,5
2004,PopulationByAgeSex,90-94,90,5
2004,PopulationByAgeSex,95-99,95,5
2004,PopulationByAgeSex,100+,100,-1
2004,PopulationByAgeSex_5x5,0-4,0,5
2004,PopulationByAgeSex_5x5,5-9,5,5
2004,PopulationByAgeSex_5x5,10-14,10,5
2004,PopulationByAgeSex_5x5,15-19,15,5
2004,PopulationByAgeSex_5x5,20-24,20,5
2004,PopulationByAgeSex_5x5,25-29,25,5
2004,PopulationByAgeSex_5x5,30-34,30,5
2004,PopulationByAgeSex_5x5,35-39,35,5
2004,PopulationByAgeSex_5x5,40-44,40,5
2004,PopulationByAgeSex_5x5,45-49,45,5
2004,PopulationByAgeSex_5x5,50-54,50,5
2004,PopulationByAgeSex_5x5,55-59,55,5
2004,PopulationByAgeSex_5x5,60-64,60,5
2004,PopulationByAgeSex_5x5,65-69,65,5
2004,PopulationByAgeSex_5x5,70-74,70,5
2004,PopulationByAgeSex_5x5,75-79,75,5
2004,PopulationByAgeSex_5x5,80-84,80,5
2004,PopulationByAgeSex_5x5,85-89,85,5
2004,PopulationByAgeSex_5x5,90-94,90,5
2004,PopulationByAgeSex_5x5,95-99,95,5
2004,PopulationByAgeSex_5x5,100+,100,-1
2004,PopulationBySingleAgeSex,0,0,1
2004,PopulationBySingleAgeSex,1,1,1
2004,PopulationBySingleAgeSex,2,2,1
2004,PopulationBySingleAgeSex,3,3,1
2004,PopulationBySingleAgeSex,4,4,1
2004,PopulationBySingleAgeSex,5,5,1
2004,PopulationBySingleAgeSex,6,6,1
2004,PopulationBySingleAgeSex,7,7,1
2004,PopulationBySingleAgeSex,8,8,1
2004,PopulationBySingleAgeSex,9,9,1
2004,PopulationBySingleAgeSex,10,10,1
2004,PopulationBySingleAgeSex,11,11,1
2004,PopulationBySingleAgeSex,12,12,1
2004,PopulationBySingleAgeSex,13,13,1
2004,PopulationBySingleAgeSex,14,14,1
2004,PopulationBySingleAgeSex,15,15,1
2004,PopulationBySingleAgeSex,16,16,1
2004,PopulationBySingleAgeSex,17,17,1
2004,PopulationBySingleAgeSex,18,18,1
2004,PopulationBySingleAgeSex,19,19,1
2004,PopulationBySingleAgeSex,20,20,1
2004,PopulationBySingleAgeSex,21,21,1
2004,PopulationBySingleAgeSex,22,22,1
2004,PopulationBySingleAgeSex,23,23,1
2004,PopulationBySingleAgeSex,24,24,1
2004,PopulationBySingleAgeSex,25,25,1
2004,PopulationBySingleAgeSex,26,26,1
2004,PopulationBySingleAgeSex,27,27,1
2004,PopulationBySingleAgeSex,28,28,1
2004,PopulationBySingleAgeSex,29,29,1
2004,PopulationBySingleAgeSex,30,30,1
2004,PopulationBySingleAgeSex,31,31,1
2004,PopulationBySingleAgeSex,32,32,1
2004,PopulationBySingleAgeSex,33,33,1
2004,PopulationBySingleAgeSex,34,34,1
2004,PopulationBySingleAgeSex,35,35,1
2004,PopulationBySingleAgeSex,36,36,1
2004,PopulationBySingleAgeSex,37,37,1
2004,PopulationBySingleAgeSex,38,38,1
2004,PopulationBySingleAgeSex,39,39,1
2004,PopulationBySingleAgeSex,40,40,1
2004,PopulationBySingleAgeSex,41,41,1
2004,PopulationBySingleAgeSex,42,42,1
2004,PopulationBySingleAgeSex,43,43,1
2004,PopulationBySingleAgeSex,44,44,1
2004,PopulationBySingleAgeSex,45,45,1
2004,PopulationBySingleAgeSex,46,46,1
2004,PopulationBySingleAgeSex,47,47,1
2004,PopulationBySingleAgeSex,48,48,1
2004,PopulationBySingleAgeSex,49,49,1
2004,PopulationBySingleAgeSex,50,50,1
2004,PopulationBySingleAgeSex,51,51,1
2004,PopulationBySingleAgeSex,52,52,1
2004,PopulationBySingleAgeSex,53,53,1
2004,PopulationBySingleAgeSex,54,54,1
2004,PopulationBySingleAgeSex,55,55,1
2004,PopulationBySingleAgeSex,56,56,1
2004,PopulationBySingleAgeSex,57,57,1
2004,PopulationBySingleAgeSex,58,58,1
2004,PopulationBySingleAgeSex,59,59,1
2004,PopulationBySingleAgeSex,60,60,1
2004,PopulationBySingleAgeSex,61,61,1
2004,PopulationBySingleAgeSex,62,62,1
2004,PopulationBySingleAgeSex,63,63,1
2004,PopulationBySingleAgeSex,64,64,1
2004,PopulationBySingleAgeSex,65,65,1
2004,PopulationBySingleAgeSex,66,66,1
2004,PopulationBySingleAgeSex,67,67,1
2004,PopulationBySingleAgeSex,68,68,1
2004,PopulationBySingleAgeSex,69,69,1
2004,PopulationBySingleAgeSex,70,70,1
2004,PopulationBySingleAgeSex,71,71,1
2004,PopulationBySingleAgeSex,72,72,1
2004,PopulationBySingleAgeSex,73,73,1
2004,PopulationBySingleAgeSex,74,74,1
2004,PopulationBySingleAgeSex,75,75,1
2004,PopulationBySingleAgeSex,76,76,1
2004,PopulationBySingleAgeSex,77,77,1
2004,PopulationBySingleAgeSex,78,78,1
2004,PopulationBySingleAgeSex,79,79,1
2004,PopulationBySingleAgeSex,80,80,1
2004,PopulationBySingleAgeSex,81,81,1
2004,PopulationBySingleAgeSex,82,82,1
2004,PopulationBySingleAgeSex,83,83,1
2004,PopulationBySingleAgeSex,84,84,1
2004,PopulationBySingleAgeSex,85,85,1
2004,PopulationBySingleAgeSex,86,86,1
2004,PopulationBySingleAgeSex,87,87,1
2004,PopulationBySingleAgeSex,88,88,1
2004,PopulationBySingleAgeSex,89,89,1
2004,PopulationBySingleAgeSex,90,90,1
2004,PopulationBySingleAgeSex,91,91,1
2004,PopulationBySingleAgeSex,92,92,1
2004,PopulationBySingleAgeSex,93,93,1
2004,PopulationBySingleAgeSex,94,94,1
2004,PopulationBySingleAgeSex,95,95,1
2004,PopulationBySingleAgeSex,96,96,1
2004,PopulationBySingleAgeSex,97,97,1
2004,PopulationBySingleAgeSex,98,98,1
2004,PopulationBySingleAgeSex,99,99,1
2004,PopulationBySingleAgeSex,100,100,-1
2006,Fertility_by_Age,15-19,15,5
2006,Fertility_by_Age,20-24,20,5
2006,Fertility_by_Age,25-29,25,5
2006,Fertility_by_Age,30-34,30,5
2006,Fertility_by_Age,35-39,35,5
2006,Fertility_by_Age,40-44,40,5
2006,Fertility_by_Age,45-49,45,5
2006,Life_Table,0,0,1
2006,Life_Table,1-4,1,4
2006,Life_Table,5-9,5,5
2006,Life_Table,10-14,10,5
2006,Life_Table,15-19,15,5
2006,Life_Table,20-24,20,5
2006,Life_Table,25-29,25,5
2006,Life_Table,30-34,30,5
2006,Life_Table,35-39,35,5
2006,Life_Table,40-44,40,5
2006,Life_Table,45-49,45,5
2006,Life_Table,50-54,50,5
2006,Life_Table,55-59,55,5
2006,Life_Table,60-64,60,5
2006,Life_Table,65-69,65,5
2006,Life_Table,70-74,70,5
2006,Life_Table,75-79,75,5
2006,Life_Table,80-84,80,5
2006,Life_Table,85-89,85,5
2006,Life_Table,90-94,90,5
2006,Life_Table,95-99,95,5
2006,Life_Table,100+,100,-1
2006,PopulationByAgeSex,0-4,0,5
2006,PopulationByAgeSex,5-9,5,5
2006,PopulationByAgeSex,10-14,10,5
2006,PopulationByAgeSex,15-19,15,5
2006,PopulationByAgeSex,20-24,20,5
2006,PopulationByAgeSex,25-29,25,5
2006,PopulationByAgeSex,30-34,30,5
2006,PopulationByAgeSex,35-39,35,5
2006,PopulationByAgeSex,40-44,40,5
2006,PopulationByAgeSex,45-49,45,5
2006,PopulationByAgeSex,50-54,50,5
2006,PopulationByAgeSex,55-59,55,5
2006,PopulationByAgeSex,60-64,60,5
2006,PopulationByAgeSex,65-69,65,5
2006,PopulationByAgeSex,70-74,70,5
2006,PopulationByAgeSex,75-79,75,5
2006,PopulationByAgeSex,80-84,80,5
2006,PopulationByAgeSex,85-89,85,5
2006,PopulationByAgeSex,90-94,90,5
2006,PopulationByAgeSex,95-99,95,5
2006,PopulationByAgeSex,100+,100,-1
2006,PopulationByAgeSex_5x5,0-4,0,5
2006,PopulationByAgeSex_5x5,5-9,5,5
2006,PopulationByAgeSex_5x5,10-14,10,5
2006,PopulationByAgeSex_5x5,15-19,15,5
2006,PopulationByAgeSex_5x5,20-24,20,5
2006,PopulationByAgeSex_5x5,25-29,25,5
2006,PopulationByAgeSex_5x5,30-34,30,5
2006,PopulationByAgeSex_5x5,35-39,35,5
2006,PopulationByAgeSex_5x5,40-44,40,5
2006,PopulationByAgeSex_5x5,45-49,45,5
2006,PopulationByAgeSex_5x5,50-54,50,5
2006,PopulationByAgeSex_5x5,55-59,55,5
2006,PopulationByAgeSex_5x5,60-64,60,5
2006,PopulationByAgeSex_5x5,65-69,65,5
2006,PopulationByAgeSex_5x5,70-74,70,5
2006,PopulationByAgeSex_5x5,75-79,75,5
2006,PopulationByAgeSex_5x5,80-84,80,5
2006,PopulationByAgeSex_5x5,85-89,85,5
2006,PopulationByAgeSex_5x5,90-94,90,5
2006,PopulationByAgeSex_5x5,95-99,95,5
2006,PopulationByAgeSex_5x5,100+,100,-1
2006,PopulationBySingleAgeSex,0,0,1
2006,PopulationBySingleAgeSex,1,1,1
2006,PopulationBySingleAgeSex,2,2,1
2006,PopulationBySingleAgeSex,3,3,1
2006,PopulationBySingleAgeSex,4,4,1
2006,PopulationBySingleAgeSex,5,5,1
2006,PopulationBySingleAgeSex,6,6,1
2006,PopulationBySingleAgeSex,7,7,1
2006,PopulationBySingleAgeSex,8,8,1
2006,PopulationBySingleAgeSex,9,9,1
2006,PopulationBySingleAgeSex,10,10,1
2006,PopulationBySingleAgeSex,11,11,1
2006,PopulationBySingleAgeSex,12,12,1
2006,PopulationBySingleAgeSex,13,13,1
2006,PopulationBySingleAgeSex,14,14,1
2006,PopulationBySingleAgeSex,15,15,1
2006,PopulationBySingleAgeSex,16,16,1
2006,PopulationBySingleAgeSex,17,17,1
2006,PopulationBySingleAgeSex,18,18,1
2006,PopulationBySingleAgeSex,19,19,1
2006,PopulationBySingleAgeSex,20,20,1
2006,PopulationBySingleAgeSex,21,21,1
2006,PopulationBySingleAgeSex,22,22,1
2006,PopulationBySingleAgeSex,23,23,1
2006,PopulationBySingleAgeSex,24,24,1
2006,PopulationBySingleAgeSex,25,25,1
2006,PopulationBySingleAgeSex,26,26,1
2006,PopulationBySingleAgeSex,27,27,1
2006,PopulationBySingleAgeSex,28,28,1
2006,PopulationBySingleAgeSex,29,29,1
2006,PopulationBySingleAgeSex,30,30,1
2006,PopulationBySingleAgeSex,31,31,1
2006,PopulationBySingleAgeSex,32,32,1
2006,PopulationBySingleAgeSex,33,33,1
2006,PopulationBySingleAgeSex,34,34,1
2006,PopulationBySingleAgeSex,35,35,1
2006,PopulationBySingleAgeSex,36,36,1
2006,PopulationBySingleAgeSex,37,37,1
2006,PopulationBySingleAgeSex,38,38,1
2006,PopulationBySingleAgeSex,39,39,1
2006,PopulationBySingleAgeSex,40,40,1
2006,PopulationBySingleAgeSex,41,41,1
2006,PopulationBySingleAgeSex,42,42,1
2006,PopulationBySingleAgeSex,43,43,1
2006,PopulationBySingleAgeSex,44,44,1
2006,PopulationBySingleAgeSex,45,45,1
2006,PopulationBySingleAgeSex,46,46,1
2006,PopulationBySingleAgeSex,47,47,1
2006,PopulationBySingleAgeSex,48,48,1
2006,PopulationBySingleAgeSex,49,49,1
2006,PopulationBySingleAgeSex,50,50,1
2006,PopulationBySingleAgeSex,51,51,1
2006,PopulationBySingleAgeSex,52,52,1
2006,PopulationBySingleAgeSex,53,53,1
2006,PopulationBySingleAgeSex,54,54,1
2006,PopulationBySingleAgeSex,55,55,1
2006,PopulationBySingleAgeSex,56,56,1
2006,PopulationBySingleAgeSex,57,57,1
2006,PopulationBySingleAgeSex,58,58,1
2006,PopulationBySingleAgeSex,59,59,1
2006,PopulationBySingleAgeSex,60,60,1
2006,PopulationBySingleAgeSex,61,61,1
2006,PopulationBySingleAgeSex,62,62,1
2006,PopulationBySingleAgeSex,63,63,1
2006,PopulationBySingleAgeSex,64,64,1
2006,PopulationBySingleAgeSex,65,65,1
2006,PopulationBySingleAgeSex,66,66,1
2006,PopulationBySingleAgeSex,67,67,1
2006,PopulationBySingleAgeSex,68,68,1
2006,PopulationBySingleAgeSex,69,69,1
2006,PopulationBySingleAgeSex,70,70,1
2006,PopulationBySingleAgeSex,71,71,1
2006,PopulationBySingleAgeSex,72,72,1
2006,PopulationBySingleAgeSex,73,73,1
2006,PopulationBySingleAgeSex,74,74,1
2006,PopulationBySingleAgeSex,75,75,1
2006,PopulationBySingleAgeSex,76,76,1
2006,PopulationBySingleAgeSex,77,77,1
2006,PopulationBySingleAgeSex,78,78,1
2006,PopulationBySingleAgeSex,79,79,1
2006,PopulationBySingleAgeSex,80,80,1
2006,PopulationBySingleAgeSex,81,81,1
2006,PopulationBySingleAgeSex,82,82,1
2006,PopulationBySingleAgeSex,83,83,1
2006,PopulationBySingleAgeSex,84,84,1
2006,PopulationBySingleAgeSex,85,85,1
2006,PopulationBySingleAgeSex,86,86,1
2006,PopulationBySingleAgeSex,87,87,1
2006,PopulationBySingleAgeSex,88,88,1
2006,PopulationBySingleAgeSex,89,89,1
2006,PopulationBySingleAgeSex,90,90,1
2006,PopulationBySingleAgeSex,91,91,1
2006,PopulationBySingleAgeSex,92,92,1
2006,PopulationBySingleAgeSex,93,93,1
2006,PopulationBySingleAgeSex,94,94,1
2006,PopulationBySingleAgeSex,95,95,1
2006,PopulationBySingleAgeSex,96,96,1
2006,PopulationBySingleAgeSex,97,97,1
2006,PopulationBySingleAgeSex,98,98,1
2006,PopulationBySingleAgeSex,99,99,1
2006,PopulationBySingleAgeSex,100,100,-1
2008,Fertility_by_Age,15-19,15,5
2008,Fertility_by_Age,20-24,20,5
2008,Fertility_by_Age,25-29,25,5
2008,Fertility_by_Age,30-34,30,5
2008,Fertility_by_Age,35-39,35,5
2008,Fertility_by_Age,40-44,40,5
2008,Fertility_by_Age,45-49,45,5
2008,Life_Table,0,0,1
2008,Life_Table,1-4,1,4
2008,Life_Table,5-9,5,5
2008,Life_Table,10-14,10,5
2008,Life_Table,15-19,15,5
2008,Life_Table,20-24,20,5
2008,Life_Table,25-29,25,5
2008,Life_Table,30-34,30,5
2008,Life_Table,35-39,35,5
2008,Life_Table,40-44,40,5
2008,Life_Table,45-49,45,5
2008,Life_Table,50-54,50,5
2008,Life_Table,55-59,55,5
2008,Life_Table,60-64,60,5
2008,Life_Table,65-69,65,5
2008,Life_Table,70-74,70,5
2008,Life_Table,75-79,75,5
2008,Life_Table,80-84,80,5
2008,Life_Table,85-89,85,5
2008,Life_Table,90-94,90,5
2008,Life_Table,95-99,95,5
2008,Life_Table,100+,100,-1
2008,PopulationByAgeSex,0-4,0,5
2008,PopulationByAgeSex,5-9,5,5
2008,PopulationByAgeSex,10-14,10,5
2008,PopulationByAgeSex,15-19,15,5
2008,PopulationByAgeSex,20-24,20,5
2008,PopulationByAgeSex,25-29,25,5
2008,PopulationByAgeSex,30-34,30,5
2008,PopulationByAgeSex,35-39,35,5
2008,PopulationByAgeSex,40-44,40,5
2008,PopulationByAgeSex,45-49,45,5
2008,PopulationByAgeSex,50-54,50,5
2008,PopulationByAgeSex,55-59,55,5
2008,PopulationByAgeSex,60-64,60,5
2008,PopulationByAgeSex,65-69,65,5
2008,PopulationByAgeSex,70-74,70,5
2008,PopulationByAgeSex,75-79,75,5
2008,PopulationByAgeSex,80-84,80,5
2008,PopulationByAgeSex,85-89,85,5
2008,PopulationByAgeSex,90-94,90,5
2008,PopulationByAgeSex,95-99,95,5
2008,PopulationByAgeSex,100+,100,-1
2008,PopulationByAgeSex_5x5,0-4,0,5
2008,PopulationByAgeSex_5x5,5-9,5,5
2008,PopulationByAgeSex_5x5,10-14,10,5
2008,PopulationByAgeSex_5x5,15-19,15,5
2008,PopulationByAgeSex_5x5,20-24,20,5
2008,PopulationByAgeSex_5x5,25-29,25,5
2008,PopulationByAgeSex_5x5,30-34,30,5
2008,PopulationByAgeSex_5x5,35-39,35,5
2008,PopulationByAgeSex_5x5,40-44,40,5
2008,PopulationByAgeSex_5x5,45-49,45,5
2008,PopulationByAgeSex_5x5,50-54,50,5
2008,PopulationByAgeSex_5x5,55-59,55,5
2008,PopulationByAgeSex_5x5,60-64,60,5
2008,PopulationByAgeSex_5x5,65-69,65,5
2008,PopulationByAgeSex_5x5,70-74,70,5
2008,PopulationByAgeSex_5x5,75-79,75,5
2008,PopulationByAgeSex_5x5,80-84,80,5
2008,PopulationByAgeSex_5x5,85-89,85,5
2008,PopulationByAgeSex_5x5,90-94,90,5
2008,PopulationByAgeSex_5x5,95-99,95,5
2008,PopulationByAgeSex_5x5,100+,100,-1
2008,PopulationBySingleAgeSex,0,0,1
2008,PopulationBySingleAgeSex,1,1,1
2008,PopulationBySingleAgeSex,2,2,1
2008,PopulationBySingleAgeSex,3,3,1
2008,PopulationBySingleAgeSex,4,4,1
2008,PopulationBySingleAgeSex,5,5,1
2008,PopulationBySingleAgeSex,6,6,1
2008,PopulationBySingleAgeSex,7,7,1
2008,PopulationBySingleAgeSex,8,8,1
2008,PopulationBySingleAgeSex,9,9,1
2008,PopulationBySingleAgeSex,10,10,1
2008,PopulationBySingleAgeSex,11,11,1
2008,PopulationBySingleAgeSex,12,12,1
2008,PopulationBySingleAgeSex,13,13,1
2008,PopulationBySingleAgeSex,14,14,1
2008,PopulationBySingleAgeSex,15,15,1
2008,PopulationBySingleAgeSex,16,16,1
2008,PopulationBySingleAgeSex,17,17,1
2008,PopulationBySingleAgeSex,18,18,1
2008,PopulationBySingleAgeSex,19,19,1
2008,PopulationBySingleAgeSex,20,20,1
2008,PopulationBySingleAgeSex,21,21,1
2008,PopulationBySingleAgeSex,22,22,1
2008,PopulationBySingleAgeSex,23,23,1
2008,PopulationBySingleAgeSex,24,24,1
2008,PopulationBySingleAgeSex,25,25,1
2008,PopulationBySingleAgeSex,26,26,1
2008,PopulationBySingleAgeSex,27,27,1
2008,PopulationBySingleAgeSex,28,28,1
2008,PopulationBySingleAgeSex,29,29,1
2008,PopulationBySingleAgeSex,30,30,1
2008,PopulationBySingleAgeSex,31,31,1
2008,PopulationBySingleAgeSex,32,32,1
2008,PopulationBySingleAgeSex,33,33,1
2008,PopulationBySingleAgeSex,34,34,1
2008,PopulationBySingleAgeSex,35,35,1
2008,PopulationBySingleAgeSex,36,36,1
2008,PopulationBySingleAgeSex,37,37,1
2008,PopulationBySingleAgeSex,38,38,1
2008,PopulationBySingleAgeSex,39,39,1
2008,PopulationBySingleAgeSex,40,40,1
2008,PopulationBySingleAgeSex,41,41,1
2008,PopulationBySingleAgeSex,42,42,1
2008,PopulationBySingleAgeSex,43,43,1
2008,PopulationBySingleAgeSex,44,44,1
2008,PopulationBySingleAgeSex,45,45,1
2008,PopulationBySingleAgeSex,46,46,1
2008,PopulationBySingleAgeSex,47,47,1
2008,PopulationBySingleAgeSex,48,48,1
2008,PopulationBySingleAgeSex,49,49,1
2008,PopulationBySingleAgeSex,50,50,1
2008,PopulationBySingleAgeSex,51,51,1
2008,PopulationBySingleAgeSex,52,52,1
